"AW","Aw"
"Carl XVI Gustaf of Sweden","Carl Gustav XVI"
"Calcium channel blocker","Ca plus plus antagonist"
"Battleship (game)","Battleship game"
"Double stop","DoubleStops","Double stops"
"Geography of Burma","Burma/Geography"
"Cantor's diagonal argument","Diagonal slash argument"
"Aon (company)","Aon Insurance"
"Aberdyfi","Aberdovey"
"Megacorporation","Corporate Police State"
"Carroll O'Connor","Carroll OConnor"
"Efficient-market hypothesis","Efficient Markets Hypothesis","Efficient markets theory"
"Gas compressor","Compressors"
"Key (cryptography)","Cryptography/Key"
"List of Bubblegum Crisis characters","Boomeroid"
"Sampling (signal processing)","Data Compression/sampling frequency"
"Tanakh","Apocrypha/Tanakh"
"Business school","BusinessSchool","Business Schools"
"Folklore of the United States","American Folklore"
"Space Odyssey","David Bowman (Space Odyssey)"
"Antarctic Treaty System","Government of Antarctica","Antartic Treaty"
"Council of Trent","Catholicism/Council of Trent"
"Encyclopædia Britannica","Britannica","Encyclopedia Britannica"
"Denise Richards","DeniseRichards"
"Bodhidharma","Bodhidarma"
"Dakar Rally","Dakar Rallye"
"Chris Morris","ChrisMorris"
"American Revolutionary War","American war of independence"
"Human factors and ergonomics","Ergonomics"
"Alphorn","Alpenhorn"
"Elbląg","Baltic Sea/Elblag","Baltic Sea/Truso","Elbing/Elblag","Elbing/Truso"
"Dilbert","Induhvidual"
"Disruption","DisRuption"
"Ethnic group","Ethnicity","Ethnic"
"Casimir IV Jagiellon","Casimir IV Jagiello"
"Central American Integration System","Central American Court of Justice"
"Al-Qaeda","Al Qaida","Al Qaeda"
"Arab states","Arab countries"
"Dragon 32/64","Dragon 32"
"Cruise missile","Cruise Missile"
"Albert Einstein","Einstein"
"Arbitration","Binding arbitration"
"German Navy","Bundesmarine","Deutsche Marine"
"Bain-marie","Double boiler"
"Angles","Angle tribe"
"History of Egypt","Egypt/History"
"Erotic asphyxiation","Autoerotic asphyxiation"
"Shadrach, Meshach, and Abednego","Abednego"
"Dewey Decimal Classification","DeweyDecimalSystem"
"Dartmouth College v. Woodward","Dartmouth College case"
"Duodecimal","Dozenal Society of Great Britain"
"Liquid-crystal display","Computer display/LCD"
"American Samoa","American Samoa/Military"
"C. S. Lewis","C.S. Lewis"
"Abandonment (legal)","Abandonment of domicile","Abandonment of an easement","Abandonment of railways"
"Ecumenical council","Catholicism/Councils"
"Prime Minister of Australia","Australian Prime Ministers"
"Regress argument","CommonSenseAndTheDiallelus","Common sense and the Diallelus"
"Charles d'Abancour","Charles Xavier Joseph De Franque Ville Abancourt"
"Acanthocephala","Acamthocephala"
"Dinosaur","Dinosaurs","Dinosauria"
"Communications in Afghanistan","AfghanistanCommunications","Afghanistan/Communications"
"Aberdeenshire (historic)","Aberdeenshire/Aberdeenshire1911"
"Shogun","Shogunate"
"Cancer cluster","Cancer Coast"
"B-roll","B roll"
"Civil and political rights","Civil rights history"
"Accident (philosophy)","Accidental property"
"Dharma","Dhamma"
"Bill Clinton","BillClinton"
"HIV/AIDS","Acquired Immunodeficiency Syndrome","Acquired immunodeficiency syndrome"
"Clipperton Island","Clipperton Island/History","Clipperton Island/Geography","Clipperton Island/People","Clipperton Island/Government","Clipperton Island/Economy","Clipperton Island/Communications","Clipperton Island/Transportation","Clipperton Island/Military"
"Thomas Aquinas","Aquinas"
"Afghan Armed Forces","AfghanistanMilitary","Afghanistan/Military"
"Exhaust system","Exhaust pipe"
"Abecedarian","AbeceDarians"
"East Germany","EastGermany"
"Anthropic principle","Anthropic Principle"
"Asteroid belt","Asteroid Belt"
"Computational linguistics","Computational Linguistics"
"Foreign relations of the Bahamas","Bahamas/Transnational issues"
"Dr. Strangelove","Dr Strangelove"
"Carolingian Renaissance","Carolingian renaissance"
"Amuck!","Amuck"
"Daniel Ortega","Daniel Ortega Saavedra"
"Anti-ballistic missile","Anti-Ballistic Missile"
"Assassin (disambiguation)","Assassins (disambiguation)"
"Philosophy","DefinitionOfPhilosophy"
"Edwin Austin Abbey","EdwinAustinAbbey"
"Combinatorics","CombinaTorics"
"Luddite","E.P.Thompson on Luddites","E. P. Thompson on Luddites"
"Politics of Afghanistan","Afghanistan/Government"
"Ballet","Ballet dance"
"Pope Adrian I","Adrian I"
"Adomnán","Adamnan"
"Countable set","Countably infinite"
"British Indian Ocean Territory","British Indian Ocean Territory/Geography","Demographics of the British Indian Ocean Territory","British Indian Ocean Territory/Government","British Indian Ocean Territory/Economy","British Indian Ocean Territory/Communications","British Indian Ocean Territory/Transportation","British Indian Ocean Territory/Military","British Indian Ocean Territory/Transnational issues"
"CD-ROM","CD ROM"
"Diedrich Hermann Westermann","Diedrich Westermann"
"Computer accessibility","AccessibleComputing","Accessible computing"
"Foreign relations of Albania","Albania/Transnational Issues","Albania/Foreign relations"
"James Tiptree, Jr.","Alice Sheldon"
"Ciliate","Ciliates"
"Decimal","Denary"
"Force carrier","Exchange particle"
"Mogul skiing","Mogul (skiing)"
"Ampere","Ampage"
"Substance theory","Bare particular"
"Air pollution","Air Pollution"
"Constitution Act, 1867","Constitution of Canada/1867 Preamble","Constitution of Canada/1867 I Preliminary","Constitution of Canada/1867 II Union","Constitution of Canada/1867 VII Judicature"
"Classical liberalism","Classical liberal"
"Bahrain","Bahrain/Geography"
"Aether (classical element)","Classical Element/Ether"
"Ramsar Convention","Convention on Wetlands of International Importance Especially As Waterfowl Habitat"
"Cretaceous–Paleogene extinction event","Cretaceous-Tertiary Extinction Event"
"Barada","Abana River"
"Tank destroyer","Anti-tank vehicles"
"Cypriot National Guard","Military of Cyprus"
"Injector","Eductor-jet pump"
"Transport in Afghanistan","AfghanistanTransportations"
"Congenital disorder","Birth defect"
"Biology","BiologicalScience"
"Bolesław III Wrymouth","Boleslaw III"
"Chordate","ChordaTa","Evolutionary tree/Chordata"
"Computer monitor","Computer Monitor"
"Pale lager","Dry beer"
"Summary statistics","ChoosingSummaryStatistics","Choosing summary statistics"
"Multivibrator","Astable"
"Lists of atheists","Celebrity atheists"
"Phylogenetic tree","Evolutionary tree"
"Pope Alexander VII","Alexander VII"
"Donegal fiddle tradition","DonegalFiddleTradition"
"BBC Online","BBC/Online"
"Metre Convention","Convention of the Metre"
"Circulatory system","Cardiovascular system","Cardiovascular System"
"Cybersex","Cyber sex"
"Analysis of variance","ANOVA","Analysis of Variance","Analysis of variance/Random effects models","Analysis of variance/Degrees of freedom"
"Baker Island","Geography of Baker Island","Demographics of Baker Island","Government of Baker Island","Transportation in Baker Island"
"Comic book","Comic books"
"Amoeba (amoeboid organism)","AmoeboidTaxa","Ameboid stage","Amebas (pseudopod protists)"
"Áedán mac Gabráin","Aidan of Dalriada"
"Baby boom","Baby Boom"
"Antonie van Leeuwenhoek","Antony van Leeuwenhook","Antony van Leeuwenhoek"
"Royal Bahamas Defence Force","Bahamas/Military"
"Christmas market","Christkindlmarkt"
"Anacreon","Anacreon (poet)"
"Christian","Christians"
"List of Celtic tribes","Celtic tribes of the British Isles"
"Ara Pacis","Ara Pacis Augustae"
"Automated Alice","Automated Alice/I"
"Hanukkah","Hanukkah rituals"
"Environmental Modification Convention","Environmental Modification"
"Native Americans in the United States","American indian"
"Bubble sort","Bubble sort/C"
"Monarchy of the United Kingdom","British Queen"
"Debian","Debian GNU/Linux"
"Cerebrospinal fluid","Cerebral Spinal Fluid"
"Wrocław","Breslau"
"Axiom of choice","AxiomOfChoice"
"Alan Ayckbourn","Alan Ayckbourn/Plays"
"Murat Ses","Electric Levantine"
"Lists of universities and colleges","Colleges and universities/OldList"
"Centromere","Centromer"
"Consciousness","ConsciousNess"
"Consequentialism","ConsequentialIsm"
"Arthritis","Arthritus"
"Dennis the Menace and Gnasher","Dennis the Menace/Gnasher"
"Database","Database management system","DBMS"
"David Hume","DavidHume"
"Boethius","BoethiuS"
"Anchorage, Alaska","AnchorageAlaska"
"Demographics of Albania","AlbaniaPeople","Albania/People"
"Carson bandwidth rule","Carsons rule"
"Mumbai","Mumbai (Bombay)"
"Cantor set","CantorSet"
"Dot-com","Dotcom"
"Albrecht Dürer","Albrecht Durer"
"Catharism","Albigenses","Albigensians"
"Hydrolysis","Amide hydrolysis"
"Giant panda","Ailuropoda melanoleuca"
"Bodybuilding","BodyBuilding"
"London Convention on the Prevention of Marine Pollution by Dumping of Wastes and Other Matter","Convention on the Prevention of Marine Pollution by Dumping Wastes and Other Matter"
"Abipón people","Abipones"
"Brownian motion","Brownian movement"
"Education","EduCation"
"Crossover (music)","Crossover music"
"Time-sharing","Computer/Time-sharing"
"Outline of archaeology","Wikipedia:Archaeology basic topics"
"Delocalized electron","Delocalised"
"Artificial intelligence","AI"
"Lists of composers","Composers"
"Economy of Burma","Burma/Economy"
"Aborigine","Aborigines"
"Antidepressant","Anti-depressant"
"October Revolution","Bolshevik Revolution"
"DNA microarray","DNA chip"
"The Diary of a Young Girl","The Diary of Anne Frank"
"Anniversary","Demisesquicentennial"
"Aromaticity","Aromatic compound"
"History of Africa","Africa/History"
"Country","CountrY"
"Dynamical system","Dynamic system"
"Ethical naturalism","EthicalNaturalism"
"Alternate history","Alternate History"
"Asperger syndrome","Aspergers disorder"
"Cable television","Cable TV","CATV"
"B-boying","Breakdance"
"Climate change","Climate Change"
"Douglas Engelbart","Doug Engelbart"
"A Farewell to Arms","ErnestHemingway/FredericHenry","Frederic Henry"
"White","Color/white"
"Acceleration","Accelerate"
"Abkhazia","Abkhasia"
"Abalone","AbalonE"
"Abandon","Abandonment of an action","Abandonment in marine insurance","Abandonment of wife and children"
"Alfonso VIII of Castile","Alphonso VIII of Spain","Alphonso VIII"
"Economics","EconomicS"
"Apostle (Christian)","Apostles"
"Celtic music","CelticMusic"
"Computer music","Computer-generated music"
"Ada Lovelace","Ada Byron's notes on the analytical engine"
"Chronic fatigue syndrome","Chronic Fatigue Syndrome/The name","Chronic Fatigue Syndrome/Long term course","Chronic Fatigue Syndrome/Day to day patterns","Chronic Fatigue Syndrome/Demographics"
"Cosmic microwave background","Cosmic Background Radiation"
"Card game","Card games"
"Class conflict","Class envy"
"Biblical hermeneutics","BiblicalInterpretation"
"Chemical evolution","Chemical Evolution"
"Alexander Rutskoy","Alexander Rutskoi"
"University of Brighton","Brighton University"
"Mental event","BrainEvent","Brain event"
"Ascorbic acid","Ascorbic Acid"
"Earth","EartH"
"Archaeology","Archaeologist"
"Banach–Tarski paradox","Banach Tarski Paradoxical Decomposition"
"Baltic languages","Baltic language"
"RCA 1802","CDP1802"
"Ambient calculus","AmbientCalculusOnline","AmbientCalculiOnline"
"Epistle to the Colossians","Colossians"
"Barney Bubbles","Colin Fulcher"
"David Friedman","DavidFriedman"
"DNA sequencing","Dideoxy sequencing"
"Action film","ActionFilm","Action Film"
"Cross-cutting","Cross cutting"
"Cathode ray tube","Computer display/CRT"
"Ampallang","Ampallang piercing"
"Assistive technology","AssistiveTechnology"
"Athlon","AMD Athlon"
"Alfonso VII of León and Castile","Alphonso VII"
"Data compression","Multimedia compression"
"Dwight D. Eisenhower","Dwight Eisenhower"
"Black Sox Scandal","Black Sox scandal"
"Bahá'í Faith","Bahais"
"Children's Online Privacy Protection Act","COPPA","Child Online Privacy Protection Act"
"Line Islands","America Islands"
"Pope Adrian II","Adrian II"
"Pope Adrian IV","Adrian IV"
"Pope Adrian VI","Adrian VI"
"Nicholas II of Russia","Czar Nicholas II"
"AOL Instant Messenger","AOL Instant Messanger"
"Anguilla","Anguilla/Transnational issues","Anguilla/Military"
"Celtic languages","Celtic language"
"Slugging percentage","Baseball statistics/SLG"
"Abatement (heraldry)","Abatement in heraldry"
"Abbeville","AbbevilleFrance"
"Binary operation","BinaryOperation"
"Cyclic adenosine monophosphate","Cyclic AMP"
"List of sovereign states","CountriesOfTheWorld","CountriesA","CountriesN","CountriesZ","CountriesP","CountriesG","CountriesO","CountriesS","CountriesU","CountriesD","CountriesK","CountriesC","CountriesH","CountriesJ","CountriesB","CountriesL","CountriesM","CountriesE","CountriesF","CountriesQ","CountriesI","CountriesR","CountriesT","CountriesV","CountriesW","CountriesY","CountriesX","Countries of the world2","Countries of the World"
"Antoine de Saint-Exupéry","Antoine de Saint-Exupery"
"Trigonometric functions","Cosine"
"Brian De Palma","Brian de Palma"
"BSD licenses","BSD/License"
"Basal body temperature","Basal body temperature method"
"Hash function","Cryptography/Hashfunction"
"Extropianism","Extropian"
"Druze","Druzism"
"Velar nasal","Agma"
"Amazon River","Amazon river"
"Cheese Shop sketch","Venezuelan Beaver cheese"
"Encyclopedia","EncycloPedia"
"Battle of Adrianople","Battle of Adrianopolis","Battle of Ardrianople"
"Country code","Country codes"
"Al Jazeera","Al-Jazeerah","AlJazeera"
"Conic section","Conic sections"
"First Hawaiian Bank","Back-Cover Texts"
"Donald Bradman","Don Bradman"
"Abstraction (computer science)","Abstraction in object-oriented programming"
"Aberdeen, South Dakota","AberdeenSouthDakota"
"A Clockwork Orange","Clockwork Orange"
"Dissolution","Dissolve"
"Existence of God","ArgumentsForTheExistenceOfGod","Arguments for the existence of God"
"Curl (programming language)","Curl Contents Language"
"Pope Anastasius IV","Anastasius IV"
"Astronomer","Astronomers and Astrophysicists"
"Darwinism","Darwinian"
"Airship","Dirigible"
"Politics of Burma","Burma/Government"
"Gdańsk","Baltic Sea/Gdanzk","Danzig"
"Collective noun","Collective nouns/All sorted by collective term"
"Prime Minister of the United Kingdom","British Prime Minister"
"Electronic musical instrument","Electronic instruments"
"Dative case","Dative"
"Coelenterata","Coelenterates"
"Compiler","Compilers"
"Dance","DanCe","Dancing"
"Astronomical unit","Astronomical Units","Astronomical Unit"
"Foreign relations of Austria","Austria/Transnational issues"
"Albinism","Albino"
"Delaware General Corporation Law","Delaware Corporation"
"Ahmose I","Amasis I"
"Des Moines, Iowa","Des Moines"
"Americans with Disabilities Act of 1990","Americans with Disabilities Act of 1990/Findings and Purposes","Americans with Disabilities Act of 1990/Definitions","Americans with Disabilities Act of 1990/Title III"
"Cook Islands","Cook Islands/Military"
"Epistemology","EpistemOlogy"
"Constructed language","ArtificalLanguages","ArtificialLanguages","Artificial languages","ConLang"
"Brachycephaly","Brachycephalic"
"Merry England","Deep England"
"Abacus","AbacuS"
"Cross-examination","Cross-examine"
"Coyote","Canis latrans"
"Drew Barrymore","DrewBarrymore"
"Antarctica","Economy of Antarctica"
"Abdelaziz of Morocco","Abd-el-Aziz IV"
"Dot-com bubble","Tech bubble"
"Dhole","Cuon alpinus"
"Abbess","AbbesS"
"Diary","Diarists"
"Cyril M. Kornbluth","Cyril Kornbluth"
"Adolf Hitler","AdolfHitler"
"Aachen","Aix-la-Chapelle"
"Comics","Comic","Comic books and strips"
"Plato","Complete works of Plato"
"Church–Turing thesis","Churchs thesis"
"Minestrone","Condiment for seasoning minestrone"
"Statistics","AppliedStatistics","Applied statistics"
"Sexual orientation","Causes of heterosexuality","Causes of sexual orientation"
"History of Albania","AlbaniaHistory","Albania/History"
"Desmodromic valve","Desmodromic"
"Jeff Noon","Automated Alice/XII","Automated Alice/XI","Automated Alice/X","Automated Alice/IX","Automated Alice/VIII","Automated Alice/VI","Automated Alice/VII","Automated Alice/V","Automated Alice/IV","Automated Alice/II","Automated Alice/III"
"Dirt track racing","Dirt speedway racing"
"Alfred of Beverley","Alured of Berkeley"
"Cabinet of Germany","Bundesregierung"
"Sagrada Família","Antonio Gaudi/Sagrada Familia"
"Electric charge","Electric Charge"
"Chōshū","Choshu"
"Audio codec","Audio codecs"
"Louis Althusser","Althusser"
"Citric acid cycle","Citric Acid cycle","Citrate cycle"
"Creed","Articles of Faith"
"AirPort","Apple Airport"
"Homegrown terrorism","Domestic terrorism"
"Cain and Abel","AbeL","Abel"
"African hip hop","Ghanaian hip hop"
"Dragon Magazine","DragonMagazine"
"Color","Colour"
"Comet","Comets"
"Design of experiments","DesigningExperiments","Designing Experiments"
"Rope (film)","Alfred Hitchcocks Rope"
"Gambling","Betting"
"Daiquiri","Banana daiquiri"
"Churches Uniting in Christ","Churches Uniting In Christ"
"DXing","DX communication"
"Intergovernmental Panel on Climate Change","Climate Change 1995"
"Bohr model","Atom/Bohr model","Bohr Model"
"Leonhard Euler","EuleR"
"Armour","Armor"
"Colony","Colonized","Colonies"
"Border Gateway Protocol","BGP"
"Apadravya","Apadrayva piercing"
"Centrohelid","Centrohelids"
"Echo & the Bunnymen","Echo and the Bunnymen"
"ASCII art","AsciiArt","Ascii Art"
"Casino game","Casino games"
"Lists of cities by country","List of city listings by country"
"Jargon","Computer jargon"
"Blue screen","Bluescreen"
"Electromagnetism","Electromagnetic interaction","Electromagnetic force"
"List of former sovereign states","Extint countries","Extinct countries","Extinct political countries, empires, etc."
"Binary relation","Asymmetrical relationship"
"Donald A. Wollheim","David Grinnell"
"American English","English language/American English"
"Simplification","Conjunction elimination"
"Demographics of Azerbaijan","Azerbaijan/People"
"Tao Te Ching","DaoDeJing"
"Asymmetric digital subscriber line","Asynchronous Digital Subscriber Line"
"Abstract algebra","Abstract Algebra"
"Eigenvalues and eigenvectors","EigenVectors","EigenValue","EigenVector","Eigen Vectors","Eigenstate","Eigenvalue"
"Degree Confluence Project","DegreeConfluenceProject"
"Abdomen","Human abdomen"
"Extrasensory perception","Anomalous cognition"
"Dog tag","Dog Tag"
"Bermuda","Bermuda/Transnational issues"
"Apache HTTP Server","Apache webserver"
"Air conditioning","Air conditioner"
"Backpacker","Backpacking"
"Outline of biology","Biology/Additional biology topics and keywords"
"Definition of music","Definition Of Music"
"Cubic foot","Cubic feet"
"Genetics","Code for"
"Angra Mainyu","Ahriman"
"California Department of Transportation","Caltrans"
"Central dogma of molecular biology","Central Dogma Of Genetics"
"Buckminsterfullerene","Buckyball (molecule)"
"Couscous","Cous cous"
"Supermajority","Absolute majority"
"İskenderun","Alexandretta"
"Dravidian languages","DravidianLanguages"
"Classical element","Classical Element"
"Befehlshaber der U-Boote","BdU"
"Balfour Declaration","Balfour declaration"
"General Conference on Weights and Measures","CPGM"
"Berlin","CityBerlin"
"Anna Kournikova","AnnaKournikova"
"Old World monkey","Cercopithecidae"
"Devanagari","Devanagiri","Devangari alphabet","Devanaagarii"
"Alfonso XII of Spain","Alphonso XII"
"Logical form","ArgumentForms","Argument form"
"Alumnus","Alumna"
"Elegiac couplet","Elegiac couplets"
"Economy of Albania","AlbaniaEconomy"
"Holy Roman Empire","Czech Republic/Sacrum"
"Cyrus the Great","Cyrus II of Persia"
"Beryl","Beryllium aluminium meta-silicate"
"Carrier battle group","CVBG"
"Arthur Koestler","ArthurKoestler"
"Danevirke","Danewerk"
"Addiction","Addictive"
"Der Blaue Reiter","Blaue Reiter"
"The Bronx","Bronx, New York"
"Boson","Bosons"
"Foreign relations of Antigua and Barbuda","Antigua and Barbuda/Transnational issues"
"Bomis","BoMis"
"Bavaria","Bayern"
"Broch","Archaeology/Broch"
"Demographics of Algeria","Algeria/People"
"Black","Color/black","Color/Black"
"Charles Sanders Peirce","Charles S. Peirce"
"Chick tract","Chick Publications"
"Dennis Hopper","Dennis Hopper/Filmography"
"Anderitum","Anderida"
"European Union","EU"
"Computer network","Computer networking"
"Eiffel Tower","EiffelTower"
"Computer","Computer system"
"COBOL","CoBoL"
"Baruch Spinoza","BaruchSpinoza"
"Peremptory plea","Autrefois convict","Autrefois acquit"
"Creutzfeldt–Jakob disease","Creutzfeld-Jacob Disease"
"Battle of Świecino","Battle of Zarnowiec","Battle of Schwetz"
"Foreign relations of Belgium","Belgium/Transnational issues","Belgium/Foreign relations"
"Emission spectrum","Emission line"
"Dyslexia","Dyslectic"
"Aramaic language","Aramaic"
"Attention deficit hyperactivity disorder","ADHD"
"Deconstruction","DeconstructionIsm","Deconstructionism"
"Cold War","ColdWar"
"Chlorofluorocarbon","Chlorinated fluorocarbons"
"Boleslaus I","Boleslav I"
"Alfonso IX of León","Alfonso IX of Spain","Alphonso IX"
"Augustine of Hippo","Augustine"
"Bombardier","Bombadier"
"Density (disambiguation)","Dense"
"English language in England","English language/British English"
"Arhat","Arahant"
"Clanking replicator","Clanking Replicator"
"Bryan MacLean","Bryan McLean"
"Draughts","Checkers"
"Bouvet Island","Geography of Bouvet Island","Bouvet Island/People","Government of Bouvet Island","Economy of Bouvet Island","Communications in Bouvet Island","Bouvet Island/Transportation","Military of Bouvet Island"
"Contraposition","Contrapositive"
"Apsis","Apogee"
"Call of Cthulhu","Call Of Cthulhu"
"Telecommunications in Burma","Burma/Communications"
"Christianity","ChristianIty"
"Creationism","Creationist"
"Basil","Basil (plant)"
"Basic","BASIC (disambiguation)"
"ISO 4217","Currency code"
"Cycling","Bicycling"
"Bacteriostatic agent","Bacteriostat"
"Set theory","Axiomatic Set Theory"
"Endangered species","Endangered Species"
"Muḥammad ibn Jābir al-Ḥarrānī al-Battānī","Albategnius"
"Operation Aphrodite","BQ-7 Aphrodite"
"Department of Defence","Department of Defense"
"Chinese remainder theorem","Chinese Remainder Theorem"
"Lossless compression","Data compression/lossless"
"American League Championship Series","ALCS"
"Arithmetic logic unit","Arithmetic and logic unit"
"American Airlines Flight 11","American Airlines flight 11"
"American Airlines Flight 77","American Airlines flight 77"
"Chinese cuisine","Chinese Cuisine","Chinese food"
"Common Era","B.C.E.","B.C.E"
"American football positions","Defensive team"
"Dr. Seuss","Dr Suess","Dr Seuss","Dr. Suess"
"Coriolis effect","Coriolis force"
"Actor","Actress","Actors and Actresses"
"Acorn","Acorn (fruit of the oak tree)"
"Chinese Exclusion Act","Chinese exclusion"
"C (programming language)","C language"
"Abbot","AbboT"
"Abbey","AbbeY"
"Karl Dönitz","Admiral Doenitz"
"Cartoonist","Cartoonists"
"Huffman coding","Data compression/Huffman coding"
"Springbok","Antidorcas marsupialis"
"Aaron","BiblE/Aaron"
"Médecins Sans Frontières","Doctors Without Borders"
"Ancient Greece","Ancient Greeks"
"Software","ComputerSoftware"
"Caber toss","Caber"
"Communism","Communist","Communists"
"Appalachian dulcimer","Appalachian Dulcimer"
"Arabic language","Arabic"
"Probability distribution","Continuous Random Variable","Continuous probability distribution","Discrete probability distribution"
"Outline of classical studies","List of basic classics topics"
"Abbo of Fleury","Abbon of Fleury"
"Bitter (beer)","Bitter ale"
"Amine","Amino group"
"Perihelion and aphelion","Aphelion"
"Continuum hypothesis","Continuum Hypothesis."
"Alloy","Alloys"
"Alien","Aliens"
"Alice","ALICE","A.L.I.C.E"
"Computer hardware","ComputerHardware","Personal computer hardware"
"Catholicism","Catholcism"
"Ajmer","District of Ajmere"
"Evidence of common descent","Argument from evolution"
"Canadian Armed Forces","Military of Canada"
"Commedia dell'arte","Commedia del arte"
"Dakini","Dakinis"
"Germany","Bundesrepublik Deutschland"
"Mobile phone","Cell phone","Cellular telephone"
"Eurocurrency","EuroCurrency"
"Foreign relations of Algeria","Algeria/Transnational Issues"
